title,link,company,location
Слесарь,https://aktau.hh.kz/vacancy/79720144?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Металл-Деталь,Пермь
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80135098?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Консалтинг Групп,Чебоксары
Слесарь МСР,https://aktau.hh.kz/vacancy/78962866?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Запагромаш,"Минск, Могилевская"
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79221586?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РУСЛЕТ,"Москва, Текстильщики"
Слесарь механического цеха,https://aktau.hh.kz/vacancy/80170481?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Производственная Компания Новые Технологии,Екатеринбург
Слесарь,https://aktau.hh.kz/vacancy/78058772?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Управляющая Компания Макс Мастер,Тула
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79867548?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ВМЗ,Киров (Кировская область)
Слесарь-электрик,https://aktau.hh.kz/vacancy/79387521?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Север Песчанка,Москва
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/78365685?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Регионтурбосервис-Энерго,Москва
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79467368?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ЦМО,Минск
"Слесарь механосборочных работ, автослесарь",https://aktau.hh.kz/vacancy/79146587?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Фаворит Трак,"Нижний Новгород, Буревестник"
Слесарь,https://adsrv.hh.ru/click?b=396535&c=30&meta=r39MLw1vrL-CkehA2OJWG55cLkIlm02ATEefpUM_D1LZtxtUby96APDRw30pZLSiWCB_eKYIcanSYCO58D_NzkaG1V859aRM7_pGJnzX67n_mDzBcJwMY7uS30gIelWF8bK8Z2aBOhjKBchD7EzyYtiYr3ygCUDz4-T0Q8dMHdkD10fblg2CfU0rKJ-NaogMMML5RaPvqYVJJx0xvtGpMQ%3D%3D&place=35&clickType=link_to_vacancy,ИП Курносов Дмитрий Олегович,Курск
Слесарь-сборщик,https://adsrv.hh.ru/click?b=394929&c=30&meta=iWy8NXESJfGi-Z2X0kyN_Gh_smDXQe1rSj8w6PPPSYLwQ7YPVSEHbGFg6wrN9_4Jge9AWify13cl5EExuF_K7tt4amqnC5eC8Hqo0INAX3OoYBpEUS6YYI1JzhKPg37E5qPa0JAOh2E4PG986Q6nQ5Hu7Ue8i5sPp25S-iYG34itRdChm7yzYv10tp-eDxwhu8ZCoTgCOnK70bOeFtSzfw%3D%3D&place=36&clickType=link_to_vacancy,ООО Меткомплекс,Рязань
Слесарь МСР,https://aktau.hh.kz/vacancy/79935570?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Спецкомплект,Ярославль
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79905769?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО МастерПласт,Краснодар
